time_key,music_key,grammy_key,popularity,has_grammy_match
,988,,32,False
,989,,35,False
,990,,0,False
,991,,21,False
,992,,60,False
,993,,69,False
,994,,39,False
,995,,24,False
,996,,0,False
,997,,21,False
,998,,32,False
,999,,43,False
,1000,,1,False
,1001,,66,False
,1002,,22,False
,1003,,49,False
,1004,,0,False
,1005,,22,False
,1006,,20,False
,1007,,49,False
,1008,,72,False
,1009,,5,False
,1010,,15,False
,1011,,68,False
,1012,,46,False
,1013,,41,False
,1014,,52,False
,1015,,56,False
,1016,,58,False
,1017,,20,False
,1018,,74,False
,1019,,20,False
,1020,,71,False
,1021,,17,False
,1022,,39,False
,1023,,56,False
,1024,,37,False
,1025,,38,False
,1026,,30,False
,1027,,45,False
,1028,,42,False
,1029,,56,False
,1030,,37,False
,1031,,42,False
,1032,,0,False
,1033,,45,False
,1034,,26,False
,1035,,22,False
,1036,,24,False
,1037,,50,False
,1038,,50,False
,1039,,64,False
,1040,,12,False
,1041,,53,False
,1042,,48,False
,1043,,35,False
,1044,,67,False
,1045,,29,False
,1046,,44,False
,1047,,63,False
,1048,,54,False
,1049,,79,False
,1050,,1,False
,1051,,19,False
,1052,,0,False
,1053,,30,False
,1054,,25,False
,1055,,54,False
,1056,,0,False
,1057,,71,False
,1058,,14,False
,1059,,64,False
,1060,,70,False
,1061,,0,False
,1062,,25,False
,1063,,26,False
,1064,,34,False
,1065,,20,False
,1066,,0,False
,1067,,77,False
,1068,,44,False
,1069,,30,False
,1070,,23,False
,1071,,27,False
,1072,,38,False
,1073,,19,False
,1074,,24,False
,1075,,17,False
,1076,,19,False
,1077,,49,False
,1078,,36,False
,1079,,25,False
,1080,,1,False
,1081,,52,False
,1082,,19,False
,1083,,0,False
,1084,,37,False
,1085,,59,False
,1086,,53,False
,1087,,53,False
,1088,,66,False
,1089,,20,False
,1090,,52,False
,1091,,40,False
,1092,,26,False
,1093,,63,False
,1094,,41,False
,1095,,58,False
,1096,,39,False
,1097,,0,False
,1098,,14,False
,1099,,30,False
,1100,,52,False
,1101,,47,False
,1102,,66,False
,1103,,32,False
,1104,,54,False
,1105,,25,False
,1106,,1,False
,1107,,15,False
,1108,,21,False
,1109,,20,False
,1110,,36,False
,1111,,55,False
,1112,,22,False
,1113,,46,False
,1114,,12,False
,1115,,60,False
,1116,,2,False
,1117,,9,False
,1118,,44,False
,1119,,30,False
,1120,,55,False
,1121,,50,False
,1122,,64,False
,1123,,47,False
,1124,,45,False
,1125,,42,False
,1126,,0,False
,1127,,26,False
,1128,,70,False
,1129,,28,False
,1130,,43,False
,1131,,21,False
,1132,,0,False
,1133,,20,False
,1134,,45,False
,1135,,59,False
,1136,,51,False
,1137,,0,False
,1138,,60,False
,1139,,48,False
,1140,,56,False
,1141,,47,False
,1142,,23,False
,1143,,59,False
,1144,,58,False
,1145,,25,False
,1146,,23,False
,1147,,5,False
,1148,,47,False
,1149,,22,False
,1150,,33,False
,1151,,63,False
,1152,,32,False
,1153,,33,False
,1154,,10,False
,1155,,20,False
,1156,,56,False
,1157,,0,False
,1158,,57,False
,1159,,19,False
,1160,,58,False
,1161,,55,False
,1162,,0,False
,1163,,55,False
,1164,,36,False
,1165,,51,False
,1166,,50,False
,1167,,23,False
,1168,,82,False
,1169,,0,False
,1170,,0,False
,1171,,34,False
,1172,,52,False
,1173,,28,False
,1174,,25,False
,1175,,17,False
,1176,,39,False
,1177,,27,False
,1178,,51,False
,1179,,16,False
,1180,,1,False
,1181,,39,False
,1182,,29,False
,1183,,23,False
,1184,,61,False
,1185,,2,False
,1186,,32,False
,1187,,0,False
,1188,,39,False
,1189,,2,False
,1190,,19,False
,1191,,29,False
,1192,,50,False
,1193,,41,False
,1194,,6,False
,1195,,20,False
,1196,,18,False
,1197,,45,False
,1198,,0,False
,1199,,0,False
,1200,,32,False
,1201,,36,False
,1202,,60,False
,1203,,36,False
,1204,,0,False
,1205,,0,False
,1206,,64,False
,1207,,55,False
,1208,,17,False
,1209,,51,False
,1210,,36,False
,1211,,36,False
,1212,,54,False
,1213,,39,False
,1214,,45,False
,1215,,73,False
,1216,,17,False
,1217,,0,False
,1218,,71,False
,1219,,14,False
,1220,,33,False
,1221,,42,False
,1222,,67,False
,1223,,34,False
,1224,,37,False
,1225,,46,False
,1226,,0,False
,1227,,64,False
,1228,,31,False
,1229,,41,False
,1230,,11,False
,1231,,22,False
,1232,,24,False
,1233,,32,False
,1234,,43,False
,1235,,29,False
,1236,,1,False
,1237,,63,False
,1238,,0,False
,1239,,0,False
,1240,,1,False
,1241,,28,False
,1242,,52,False
,1243,,37,False
,1244,,26,False
,1245,,43,False
,1246,,63,False
,1247,,32,False
,1248,,37,False
,1249,,36,False
,1250,,55,False
,1251,,15,False
,1252,,47,False
,1253,,61,False
,1254,,0,False
,1255,,53,False
,1256,,61,False
,1257,,1,False
,1258,,0,False
,1259,,26,False
,1260,,43,False
,1261,,26,False
,1262,,47,False
,1263,,26,False
,1264,,54,False
,1265,,34,False
,1266,,17,False
,1267,,0,False
,1268,,21,False
,1269,,53,False
,1270,,55,False
,1271,,40,False
,1272,,32,False
,1273,,58,False
,1274,,16,False
,1275,,21,False
,1276,,59,False
,1277,,74,False
,1278,,0,False
,1279,,34,False
,1280,,61,False
,1281,,25,False
,1282,,50,False
,1283,,18,False
,1284,,9,False
,1285,,46,False
,1286,,21,False
,1287,,35,False
,1288,,56,False
,1289,,33,False
,1290,,65,False
,1291,,62,False
,1292,,50,False
,1293,,57,False
,1294,,44,False
,1295,,23,False
,1296,,39,False
,1297,,74,False
,1298,,54,False
,1299,,24,False
,1300,,13,False
,1301,,54,False
,1302,,19,False
,1303,,23,False
,1304,,1,False
,1305,,15,False
,1306,,49,False
,1307,,12,False
,1308,,18,False
,1309,,42,False
,1310,,28,False
,1311,,0,False
,1312,,0,False
,1313,,49,False
,1314,,17,False
,1315,,21,False
,1316,,0,False
,1317,,22,False
,1318,,54,False
,1319,,2,False
,1320,,73,False
,1321,,22,False
,1322,,75,False
,1323,,22,False
,1324,,71,False
,1325,,0,False
,1326,,65,False
,1327,,17,False
,1328,,20,False
,1329,,13,False
,1330,,52,False
,1331,,56,False
